啊啊啊啊	aaaa
课外活动	kwhd
苦无良策	kwlc
课外练习	kwlx
空无所有	kwsy
口吻生花	kwuh
开胃生津	kwuj
口无遮拦	kwvl
看望慰问	kwww
开玩笑的	kwxd
课外阅读	kwyd
渴望已久	kwyj
孔武有力	kwyl
空无一人	kwyr
看我眼色	kwys
看我眼色行事	kwyu
空无一物	kwyw
口歪眼斜	kwyx
酷我音乐	kwyy
口味一样	kwyy
狂妄自大	kwzd
口歪嘴斜	kwzx
课外作业	kwzy
挎包	kxbc
哭笑不得	kxbd
开学报道	kxbd
开心不开心	kxbkx
可惜不是你	kxbn
跨步	kxbu
可惜不是	kxbu
夸大	kxda
跨到	kxdc
夸诞	kxdj
开学典礼	kxdl
科学道理	kxdl
垮掉	kxdn
跨度	kxdu
可笑的是	kxdu
可惜的是	kxdu
开心的笑	kxdx
挎斗	kxdz
凯旋而归	kxeg
可想而知	kxev
可想而之	kxev
可行方案	kxfa
科学方法	kxff
科学发展观	kxfg
科学发明	kxfm
夸父	kxfu
跨服	kxfu
科学发展	kxfv
科学分析	kxfx
科学发现	kxfx
科学规范	kxgf
科学高峰	kxgf
科学根据	kxgj
科学管理	kxgl
凯旋归来	kxgl
跨过	kxgo
跨国	kxgo
胯骨	kxgu
科学顾问	kxgw
苦心孤诣	kxgy
跨海	kxhd
跨行	kxhh
夸下海口	kxhk
科学幻想	kxhx
科学成果	kxig
跨出	kxiu
跨进	kxjb
开心就好	kxjh
跨级	kxji
跨境	kxjk
夸奖	kxjl
苦心积虑	kxjl
空虚寂寞	kxjm
跨界	kxjp
科学计算	kxjs
科学技术	kxju
科学精神	kxju
科学技术大学	kxjx
苦心经营	kxjy
开箱即用	kxjy
跨考	kxkc
夸克	kxke
可喜可贺	kxkh
科学考察	kxki
夸夸	kxkx
夸口	kxkz
空心萝卜	kxlb
科学论断	kxld
垮了	kxle
空穴来风	kxlf
跨栏	kxlj
科学理论	kxll
康熙来了	kxll
科学论证	kxlv
科学论文	kxlw
可惜没如果	kxmg
开心麻花	kxmh
开心农场	kxni
跨年	kxnm
跨排	kxpd
科学普及	kxpj
跨区	kxqu
跨入	kxru
可心如意	kxry
开心死了	kxsl
科学思想	kxsx
垮塌	kxta
垮台	kxtd
科学态度	kxtd
夸特	kxte
夸脱	kxto
科学探索	kxts
口嫌体正直	kxtv
空心汤圆	kxty
跨省	kxug
跨上	kxuh
跨市	kxui
夸饰	kxui
空闲时间	kxuj
科学实践	kxuj
夸说	kxuo
胯下受辱	kxur
跨下受辱	kxur
科学上网	kxuw
科学实验	kxuy
科学试验	kxuy
挎着	kxve
夸张	kxvh
可喜之处	kxvi
可笑之极	kxvj
科学证明	kxvm
科学之母	kxvm
开学之前	kxvq
胯下之辱	kxvr
科学种田	kxvt
科学知识	kxvu
科学主义	kxvy
科学著作	kxvz
科学文化	kxwh
科学无国界	kxwj
科学文献	kxwx
胯下	kxxx
夸耀	kxyc
跨页	kxye
跨业	kxye
跨洋	kxyh
空喜一场	kxyi
科学研究	kxyj
科学依据	kxyj
开心一刻	kxyk
胯下一凉	kxyl
科学仪器	kxyq
跨越	kxyt
跨域	kxyu
科学有效	kxyx
康熙字典	kxzd
侉子	kxzi
夸赞	kxzj
开小灶了	kxzl
夸嘴	kxzv
窥一斑而知全豹	kybb
口语表达	kybd
柯伊伯带	kybd
考研必过	kybg
抗压背锅	kybg
捆绑	kybh
悃愊	kybi
看也不看	kybk
科研部门	kybm
可以避免	kybm
坤表	kybn
可遇不可求	kybq
困惫	kybw
可以不用	kyby
可以不要	kyby
可一不可再	kybz
可以得到	kydd
可以达到	kydd
可以的话	kydh
开业典礼	kydl
可移动磁盘	kydp
宽以待人	kydr
科研单位	kydw
困顿	kydy
可以断言	kydy
困厄	kyee
快意恩仇	kyei
可遇而不可求	kyeq
困乏	kyfa
可以发挥	kyfh
捆缚	kyfu
可以发现	kyfx
可疑分子	kyfz
考验干部	kygb
跨洋过海	kygh
可以攻玉	kygy
抗氧化剂	kyhj
可以缓解	kyhj
困惑	kyho
科研成果	kyig
昆虫	kyis
可以承受	kyiu
可以尝试	kyiu
可以成为	kyiw
宽衣解带	kyjd
可以见到	kyjd
刻意解读	kyjd
科研经费	kyjf
科研机构	kyjg
科研基金	kyjj
口语交际	kyjj
困境	kyjk
开源节流	kyjl
困觉	kyjn
困倦	kyjr
开云见日	kyjr
困窘	kyjs
困觉	kyjt
困局	kyju
可以看到	kykd
可以肯定	kykd
可以克服	kykf
可以看出	kyki
可以看见	kykj
可以考虑	kykl
可盐可甜	kykt
科研课题	kykt
困苦	kyku
可有可无	kykw
快言快语	kyky
可以可以	kyky
困了	kyle
可以理解	kylj
昆凌	kylk
可以了吗	kylm
刻意练习	kylx
昆仑	kyly
可以燎原	kyly
刻意模仿	kymf
开源免费	kymf
刻意抹黑	kymh
昆明	kymk
可以瞑目	kymm
困恼	kync
困难	kynj
鲲鹏	kypg
抗压强度	kyqd
可以确定	kyqd
昆腔	kyql
可以确认	kyqr
困穷	kyqs
昆曲	kyqu
困扰	kyrc
困人	kyrf
开源软件	kyrj
可以容忍	kyrr
可以忍受	kyru
快意人生	kyru
考验人性	kyrx
科研人员	kyry
可疑人员	kyry
困死	kysi
昆山	kyuj
课余时间	kyuj
可以说是	kyuu
开元盛世	kyuu
可以试试	kyuu
可以实现	kyux
可以是可以	kyuy
困兽	kyuz
困守	kyuz
捆扎	kyva
可以知道	kyvd
捆着	kyve
可以这么	kyvm
昆仲	kyvs
枯鱼之肆	kyvs
困住	kyvu
捆住	kyvu
考验智商	kyvu
客运中心	kyvx
可以这样	kyvy
可以完成	kywi
口眼歪斜	kywx
可以相处	kyxi
宽严相济	kyxj
可以想见	kyxj
科研项目	kyxm
开源项目	kyxm
苦言相劝	kyxq
可以想象	kyxx
可以想像	kyxx
可以休矣	kyxy
开源协议	kyxy
可以选择	kyxz
困意	kyyi
可以预见	kyyj
可以原谅	kyyl
刻意隐瞒	kyym
科研院所	kyys
困于	kyyu
溃于蚁穴	kyyx
可引用性	kyyx
考研英语	kyyy
可应用于	kyyy
捆扎	kyza
困在	kyzd
稛载	kyzd
稇载	kyzd
捆子	kyzi
哭晕在厕所	kyzs
口岸	kzan
叩拜	kzbd
抠鼻	kzbi
口鼻	kzbi
扣板	kzbj
口播	kzbo
口部	kzbu
口碑	kzbw
口杯	kzbw
口才	kzcd
叩打	kzda
口袋	kzdd
口德	kzde
扣掉	kzdn
扣动	kzds
稇载而归	kzeg
口儿	kzer
口耳	kzer
扣发	kzfa
扣罚	kzfa
扣分	kzff
口风	kzfg
口饭	kzfj
口服	kzfu
口福	kzfu
扣费	kzfw
枯燥乏味	kzfw
口感	kzgj
口干	kzgj
扣光	kzgl
叩关	kzgr
口供	kzgs
口号	kzhc
口嗨	kzhd
口亨	kzhg
口活	kzho
扣环	kzhr
口红	kzhs
口胡	kzhu
口惠	kzhv
扣划	kzhx
叩阍	kzhy
扣车	kzie
口称	kzig
口吃	kzii
口齿	kzii
口疮	kzil
口传	kzir
扣除	kziu
口出	kziu
口唇	kziy
口臭	kziz
扣紧	kzjb
叩击	kzji
口技	kzji
口径	kzjk
扣减	kzjm
叩见	kzjm
口角	kzjn
口交	kzjn
扣缴	kzjn
口诀	kzjt
客座教授	kzju
叩开	kzkd
口渴	kzke
口快	kzkk
扣款	kzkr
口苦	kzku
快嘴快舌	kzku
扣扣	kzkz
快哉快哉	kzkz
扣了	kzle
口里	kzli
扣篮	kzlj
卡姿兰大眼睛	kzlj
口令	kzlk
口粮	kzll
裤子拉链	kzll
开宗立派	kzlp
扣留	kzlq
看走了眼	kzly
抠门	kzmf
叩门	kzmf
开足马力	kzml
口蘑	kzmo
口沫	kzmo
开宗明义	kzmy
口耐	kznd
口内	kznw
口琴	kzqb
口气	kzqi
口器	kzqi
口轻	kzqk
口腔	kzql
扣钱	kzqm
扣球	kzqq
扣去	kzqu
口人	kzrf
扣肉	kzrz
口塞	kzsd
抠唆	kzso
口算	kzsr
口诵	kzss
抠搜	kzsz
扣题	kzti
口谈	kztj
口痰	kztj
口条	kztn
抠图	kztu
口头	kztz
叩头	kztz
扣杀	kzua
口哨	kzuc
口舌	kzue
扣上	kzuh
口试	kzui
口实	kzui
口说	kzuo
口述	kzuu
看在上帝的份上	kzuu
口水	kzuv
扣税	kzuv
可再生资源	kzuy
可再生能源	kzuy
叩首	kzuz
口授	kzuz
口罩	kzvc
可造之才	kzvc
可造之材	kzvc
叩诊	kzvf
口占	kzvj
口拙	kzvo
口中	kzvs
扣住	kzvu
寇准	kzvy
口外	kzwd
口吻	kzwf
叩问	kzwf
口误	kzwu
口味	kzww
枯燥无味	kzww
口信	kzxb
筷子兄弟	kzxd
口型	kzxk
口形	kzxk
抠像	kzxl
叩谢	kzxp
扣下	kzxx
孔子学院	kzxy
扣押	kzya
扣压	kzya
口音	kzyb
看在眼底	kzyd
口译	kzyi
扣眼	kzyj
看在眼里	kzyl
看走眼了	kzyl
口语	kzyu
口谕	kzyu
扣在	kzzd
口子	kzzi
扣子	kzzi
啦！”	laae
喇叭	laba
腊八	laba
蜡白	labd
蜡笔	labi
蜡版	labj
拉槽	lacc
拉大	lada
拉倒	ladc
拉到	ladc
拉登	ladg
拉低	ladi
立案调查	ladi
拉丁	ladk
拉断	ladr
拉动	lads
拉肚	ladu
恋爱大师	ladu
拉分	laff
拉风	lafg
拉夫	lafu
拉菲	lafw
拉高	lagc
拉歌	lage
辣个	lage
辣根	lagf
拉杆	lagj
拉过	lago
拉罐	lagr
离岸公司	lags
拉呱	lagx
两岸关系	lagx
拉钩	lagz
拉勾	lagz
柳暗花明又一村	lahc
蜡黄	lahl
柳暗花明	lahm
拉货	laho
拉环	lahr
拉轰	lahs
拉祜	lahu
拉回	lahv
懒癌患者	lahv
拉黑	lahw
拉花	lahx
拉碴	laia
拉扯	laie
拉车	laie
拉长	laih
腊肠	laih
立案查处	laii
拉床	lail
另案处理	lail
拉出	laiu
拉臭	laiz
拉近	lajb
垃圾	laji
辣鸡	laji
辣酱	lajl
辣椒	lajn
拉锯	laju
蜡炬	laju
拉架	lajx
拉开	lakd
拉客	lake
拉胯	lakx
啦啦	lala
拉拉	lala
拉来	lald
拉力	lali
瘌痢	lali
拉链	lalm
拉练	lalm
蜡疗	laln
拉拢	lals
蜡泪	lalw
喇嘛	lama
辣妈	lama
拉满	lamj
拉面	lamm
恋爱模拟	lamn
拉磨	lamo
拉姆	lamu
拉美	lamw
辣妹	lamw
腊梅	lamw
莱昂纳多	land
拉尿	lann
拉皮	lapi
拉平	lapk
辣片	lapm
拉票	lapn
拉琴	laqb
拉起	laqi
拉纤	laqm
拉去	laqu
拉取	laqu
拉人	larf
蜡人	larf
腊日	lari
蜡染	larj
两岸人民	larm
腊肉	larz
拉萨	lasa
两岸三地	lasd
啦……”	lase
拉丝	lasi
辣死	lasi
拉锁	laso
邋遢	lata
拉套	latc
拉抬	latd
蜡台	latd
辣汤	lath
辣条	latn
拉条	latn
拉通	lats
两岸统一	laty
拉伸	lauf
拉升	laug
拉上	lauh
拉伤	lauh
拉屎	laui
拉手	lauz
辣手	lauz
拉闸	lava
拉着	lave
拉账	lavh
拉直	lavi
蜡质	lavi
拉住	lavu
蜡烛	lavu
啦？”	lawe
拉网	lawh
蜡丸	lawj
懒癌晚期	lawq
辣舞	lawu
辣味	laww
拉稀	laxi
蜡像	laxl
拉线	laxm
落下	laxx
拉下	laxx
拉秧	layh
拉延	layj
腊月	layt
两岸猿声啼不住	layv
拉运	layy
辣油	layz
蜡油	layz
拉杂	laza
落在	lazd
辣子	lazi
了吧！	lbaa
了吧！”	lbaae
临安	lban
磷铵	lban
了吧？	lbaw
了吧？”	lbawe
淋巴	lbba
萝卜白菜各有所爱	lbba
两鬓斑白	lbbb
拎包	lbbc
萝卜白菜	lbbc
邻邦	lbbh
狼狈不堪	lbbk
淋病	lbbk
林彪	lbbn
鳞波	lbbo
临别	lbbp
老八辈子	lbbz
临沧	lbch
林丛	lbcs
力不从心	lbcx
聊表寸心	lbcx
邻村	lbcy
琳达	lbda
临到	lbdc
林带	lbdd
冷不丁地	lbdd
林地	lbdi
联邦调查局	lbdj
林丹	lbdj
连本带利	lbdl
连奔带跑	lbdp
老板大气	lbdq
凛冬	lbds
连蹦带跳	lbdt
利弊得失	lbdu
领兵打仗	lbdv
轮不到我	lbdw
两不耽误	lbdw
连本带息	lbdx
洛必达法则	lbdz
冷不防地	lbfd
冷不防的	lbfd
临汾	lbff
临风	lbfg
磷肥	lbfw
临港	lbgh
磷光	lbgl
邻国	lbgo
林冠	lbgr
临桂	lbgv
两倍工资	lbgz
临海	lbhd
林海	lbhd
老板换碟	lbhd
临河	lbhe
林壑	lbhe
老兵回归	lbhg
脸不红气不喘	lbhi
林火	lbho
磷火	lbho
脸不红心不跳	lbht
老板糊涂	lbht
临湖	lbhu
临朝	lbic
临场	lbih
林场	lbih
临池	lbii
临产	lbij
临床	lbil
临窗	lbil
临川	lbir
林冲	lbis
力保城门不失	lbiu
临近	lbjb
邻近	lbjb
拉帮结伙	lbjh
来不及了	lbjl
临江	lbjl
林间	lbjm
临建	lbjm
兰博基尼	lbjn
邻角	lbjn
临界	lbjp
拉帮结派	lbjp
邻居	lbju
两败俱伤	lbju
邻家	lbjx
鳞甲	lbjx
略表敬意	lbjy
临考	lbkc
临客	lbke
礼不可废	lbkf
林肯	lbkf
老不看三国	lbkg
萝卜开会	lbkh
拉不开差距	lbkj
磷矿	lbkl
离不开了	lbkl
牢不可破	lbkp
临空	lbks
乐不可支	lbkv
凛凛	lblb
粼粼	lblb
拉布拉多	lbld
淋了	lble
琳琅	lblh
厉不厉害	lblh
淋漓	lbli
邻里	lbli
林立	lbli
老爸老妈	lblm
临了	lbln
凛冽	lblp
履薄临深	lblu
屡败屡战	lblv
利比里亚	lbly
淋病梅毒	lbmd
临门	lbmf
林莽	lbmh
厉兵秣马	lbmm
临摹	lbmo
林木	lbmu
落榜美术生	lbmu
莱布尼茨	lbnc
力不能及	lbnj
临难	lbnj
林农	lbns
力不能支	lbnv
林内	lbnw
临盆	lbpf
鳞片	lbpm
萝卜青菜，各有所爱	lbqa
萝卜青菜各有所爱	lbqa
林檎	lbqb
劣币驱逐良币	lbqb
萝卜青菜	lbqc
鲁班七号	lbqh
临期	lbqi
临清	lbqk
林泉	lbqr
临去	lbqu
林区	lbqu
两不情愿	lbqy
凛然	lbrj
拎包入住	lbrv
老不死的	lbsd
吝啬	lbse
临死	lbsi
磷酸	lbsr
乐不思蜀	lbsu
檩条	lbtn
临帖	lbtp
临潼	lbts
蓝白条纹	lbtw
临头	lbtz
淋透	lbtz
邻舍	lbue
临身	lbuf
两笔输入法	lbuf
邻省	lbug
力拔山河	lbuh
临时	lbui
淋湿	lbui
老板身体健康	lbuk
力不胜任	lbur
狼奔豕突	lbut
力拔山兮气盖世	lbuu
临水	lbuv
临睡	lbuv
连不上网	lbuw
路不拾遗	lbuy
两把刷子	lbuz
鳞爪	lbvc
拦不住的	lbvd
留不住的	lbvd
拎着	lbve
临阵	lbvf
联邦政府	lbvf
林芝	lbvi
磷脂	lbvi
临战	lbvj
老不正经	lbvj
鳞状	lbvl
临终	lbvs
林中	lbvs
老蚌珠胎	lbvt
鳞爪	lbvx
林周	lbvz
凌波微步	lbwb
林网	lbwh
狼狈为奸	lbwj
临武	lbwu
狼狈万状	lbwv
临危	lbww
淋巴细胞	lbxb
两不相干	lbxg
吝惜	lbxi
鲁滨逊漂流记	lbxj
临行	lbxk
临幸	lbxk
拉不下脸	lbxl
邻县	lbxm
鳞屑	lbxp
两不相欠	lbxq
遴选	lbxr
林学	lbxt
六边形战士	lbxu
聊表心意	lbxy
嶙峋	lbxy
聊表谢意	lbxy
林荫	lbyb
林业	lbye
林叶	lbye
聊备一格	lbyg
礼崩乐坏	lbyh
临沂	lbyi
林园	lbyr
临月	lbyt
淋雨	lbyu
淋浴	lbyu
两步验证	lbyv
临泽	lbze
林子	lbzi
临淄	lbzi
略表尊敬	lbzj
邻座	lbzo
临走	lbzz
老爱	lcai
嫪毐	lcai
老媪	lcao
老爸	lcba
老八	lcba
劳保	lcbc
老鸨	lcbc
老白	lcbd
老本	lcbf
老板	lcbj
老伴	lcbj
老兵	lcbk
烙饼	lcbk
老边	lcbm
老表	lcbn
老伯	lcbo
乐此不疲	lcbp
老辈	lcbw
老粗	lccu
了此残生	lccu
立此存照	lccv
老大	lcda
唠叨	lcdc
老道	lcdc
老得	lcde
老弟	lcdi
老底	lcdi
老旦	lcdj
老聃	lcdj
老店	lcdm
老掉	lcdn
老爹	lcdp
劳动	lcds
老对	lcdv
老得	lcdw
劳顿	lcdy
老豆	lcdz
老二	lcer
劳乏	lcfa
牢房	lcfh
劳烦	lcfj
牢饭	lcfj
老夫	lcfu
老妇	lcfu
老高	lcgc
劳改	lcgd
老哥	lcge
老歌	lcge
老根	lcgf
老倌	lcgr
老公	lcgs
劳工	lcgs
牢固	lcgu
老鬼	lcgv
老给	lcgw
老狗	lcgz
涝害	lchd
老何	lche
烙痕	lchf
老汉	lchj
老黄	lchl
老火	lcho
老虎	lchu
老黑	lchw
老化	lchx
老话	lchx
老花	lchx
老巢	lcic
唠扯	lcie
老臣	lcif
老成	lcig
老城	lcig
老厂	lcih
老长	lcih
老吃	lcii
理财产品	lcip
捞出	lciu
老抽	lciz
老几	lcji
牢记	lcji
老井	lcjk
老景	lcjk
老将	lcjl
老茧	lcjm
老窖	lcjn
劳教	lcjn
老姐	lcjp
老街	lcjp
老旧	lcjq
老酒	lcjq
劳倦	lcjr
老家	lcjx
劳驾	lcjx
老君	lcjy
劳军	lcjy
牢靠	lckc
唠嗑	lcke
老客	lcke
老款	lckr
劳苦	lcku
老辣	lcla
劳拉	lcla
老林	lclb
牢牢	lclc
姥姥	lclc
老赖	lcld
老了	lcle
老狼	lclh
劳力	lcli
老李	lcli
老龄	lclk
老练	lclm
老脸	lclm
老罗	lclo
老六	lclq
牢笼	lcls
劳碌	lclu
老路	lclu
劳累	lclw
量才录用	lcly
老妈	lcma
老马	lcma
老迈	lcmd
牢门	lcmf
老米	lcmi
老命	lcmk
捞面	lcmm
劳模	lcmo
老魔	lcmo
老母	lcmu
老妹	lcmw
老美	lcmw
老衲	lcna
老娘	lcnl
老年	lcnm
郎才女貌	lcnm
老鸟	lcnn
老牛	lcnq
老农	lcns
老奴	lcnu
老怕	lcpa
老炮	lcpc
老牌	lcpd
老派	lcpd
老皮	lcpi
老片	lcpm
老婆	lcpo
老气	lcqi
老七	lcqi
老枪	lcql
捞钱	lcqm
老千	lcqm
老钱	lcqm
老去	lcqu
捞取	lcqu
老区	lcqu
力挫群雄	lcqx
老人	lcrf
老让	lcrh
老弱	lcro
绿草如茵	lcry
牢骚	lcsc
屡次三番	lcsf
老僧	lcsg
老死	lcsi
老四	lcsi
老三	lcsj
老宋	lcss
劳损	lcsy
老孙	lcsy
老叟	lcsz
老套	lctc
老太	lctd
老态	lctd
老汤	lcth
老听	lctk
老天	lctm
老铁	lctp
烙铁	lctp
老土	lctu
老头	lctz
牢头	lctz
老少	lcuc
老舍	lcue
老身	lcuf
劳神	lcuf
老生	lcug
烙上	lcuh
老师	lcui
老实	lcui
崂山	lcuj
老山	lcuj
老帅	lcuk
老说	lcuo
老鼠	lcuu
老手	lcuz
鳞次栉比	lcvb
老赵	lcvc
老宅	lcvd
老者	lcve
捞着	lcve
落枕	lcvf
老丈	lcvh
老张	lcvh
老庄	lcvl
零存整取	lcvq
老中	lcvs
老朱	lcvu
老猪	lcvu
老周	lcvz
老外	lcwd
老问	lcwf
老翁	lcwg
老王	lcwh
上老王论坛当老王	lcwh
落草为寇	lcwk
老挝	lcwo
老窝	lcwo
劳务	lcwu
老屋	lcwu
劳心	lcxb
劳形	lcxk
老乡	lcxl
老想	lcxl
老仙	lcxm
老小	lcxn
老校	lcxn
老朽	lcxq
老兄	lcxs
老徐	lcxu
粮草先行	lcxx
烙下	lcxx
连词消字	lcxz
联词消字	lcxz
老鸭	lcya
老鸦	lcya
烙印	lcyb
老妖	lcyc
老幺	lcyc
老爷	lcye
姥爷	lcye
劳役	lcyi
老姨	lcyi
老眼	lcyj
老严	lcyj
老鹰	lcyk
老营	lcyk
老远	lcyr
老用	lcys
捞月	lcyt
老妪	lcyu
牢狱	lcyu
老友	lcyz
老幼	lcyz
流窜作案	lcza
老早	lczc
醪糟	lczc
老在	lczd
涝灾	lczd
老子	lczi
劳资	lczi
劳作	lczo
老总	lczs
老祖	lczu
老贼	lczw
来啊	ldaa
来吧	ldba
来宾	ldbb
来报	ldbc
雷打不动	ldbd
辽东半岛	ldbd
劳动保护	ldbh
漏洞百出	ldbi
另当别论	ldbl
脸都白了	ldbl
来得不巧	ldbq
累得半死	ldbs
来不	ldbu
利多弊少	ldbu
劳动保障	ldbv
老大不小	ldbx
劳动保险	ldbx
领导班子	ldbz
粮多草广	ldcg
来次	ldci
来此	ldci
领导才能	ldcn
量大从优	ldcy
来到	lddc
来得	ldde
来点	lddm
来电	lddm
赖掉	lddn
两端对齐	lddq
来段	lddr
立地顶天	lddt
领导地位	lddw
垄断地位	lddw
劳动对象	lddx
伶仃大醉	lddz
莱恩	lden
领导方法	ldff
来访	ldfh
来犯	ldfj
两地分居	ldfj
来福	ldfu
领导负责	ldfz
领导干部	ldgb
量大管饱	ldgb
来稿	ldgc
莱钢	ldgh
来港	ldgh
掠地攻城	ldgi
劳动工具	ldgj
伶仃孤苦	ldgk
来过	ldgo
来攻	ldgs
劳动果实	ldgu
来归	ldgv
来给	ldgw
领导岗位	ldgw
癞瓜	ldgx
劳动改造	ldgz
劳动工资	ldgz
来函	ldhj
来电话了	ldhl
流动红旗	ldhq
劳动合同	ldht
来回	ldhv
来华	ldhx
来潮	ldic
来车	ldie
立地成佛	ldif
劳动成果	ldig
落地成盒	ldih
来迟	ldii
留党察看	ldik
赖床	ldil
劳动产品	ldip
懒得出奇	ldiq
龙的传人	ldir
老调重弹	ldit
领导成员	ldiy
来劲	ldjb
领导夹菜我转桌	ldjc
领导夹菜我转桌，领导敬酒我不喝；领导听牌我自摸，领导开门我上车；领导讲话我唠嗑，领导唱K我切歌。‌‌	ldjc
领导机关	ldjg
领导机构	ldjg
领导讲话	ldjh
雷电交加	ldjj
雷电将军	ldjj
来京	ldjk
来讲	ldjl
来电记录	ldjl
来件	ldjm
劳动技能	ldjn
来接	ldjp
领导集体	ldjt
料敌机先	ldjx
劳动就业	ldjy
劳动教养	ldjy
徕卡	ldka
来客	ldke
来看	ldkj
立等可取	ldkq
来啦	ldla
来临	ldlb
来了	ldle
六道轮回	ldlh
来历	ldli
乱丢垃圾	ldlj
零点零几	ldlj
六丁六甲	ldlj
来领	ldlk
来都来了	ldll
领导力量	ldll
懒得理你	ldln
垄断利润	ldlr
涝的涝死	ldls
来路	ldlu
来电铃声	ldlu
隆冬腊月	ldly
来吗	ldma
来嘛	ldma
来买	ldmd
劳动模范	ldmf
莱曼	ldmj
拉丁美洲	ldmv
灵丹妙药	ldmy
来拿	ldna
劳动能力	ldnl
领导能力	ldnl
来年	ldnm
拉动内需	ldnx
来拍	ldpd
赖皮	ldpi
劳动强度	ldqd
来气	ldqi
老店欺客	ldqk
来抢	ldql
来钱	ldqm
来去	ldqu
留得青山在，不怕没柴烧	ldqu
劳动群众	ldqv
留得青山在	ldqz
理当如此	ldrc
来人	ldrf
礼多人不怪	ldrg
来让	ldrh
来日	ldri
落得如此下场	ldri
来得容易去得快	ldrk
流动人口	ldrk
劳动人民	ldrm
狼多肉少	ldru
领导人物	ldrw
锒铛入狱	ldry
流动人员	ldry
莱斯	ldsi
来点什么	ldsm
聊点什么	ldsm
零打碎敲	ldsq
老大徒伤悲	ldtb
莱特	ldte
李代桃僵	ldtj
来得太快	ldtk
龙的天空	ldtk
来条	ldtn
零的突破	ldtp
领导同志	ldtv
立定跳远	ldty
来头	ldtz
老的少的	ldud
来神	lduf
来生	ldug
落地生根	ldug
来上	lduh
来世	ldui
落到实处	ldui
烂到手里	ldul
来说	lduo
领导水平	ldup
落地实施	lduu
陆地神仙	ldux
灵丹圣药	lduy
来首	lduz
劳动仲裁	ldvc
领导致辞	ldvc
赖债	ldvd
来者	ldve
来着	ldve
劳动致富	ldvf
力大砖飞	ldvf
赖账	ldvh
来张	ldvh
来之	ldvi
来电转接	ldvj
来到这里	ldvl
蓝底照片	ldvp
料敌制胜	ldvu
来住	ldvu
来抓	ldvx
莱州	ldvz
落袋为安	ldwa
力大无比	ldwb
来问	ldwf
立党为公	ldwg
来往	ldwh
老大无成	ldwi
来玩	ldwj
来晚	ldwj
轮到我了	ldwl
力大无穷	ldwq
莱芜	ldwu
劳动卫生	ldwu
来为	ldww
劳动委员	ldwy
来信	ldxb
拉动消费	ldxf
来袭	ldxi
莱西	ldxi
来想	ldxl
浪得虚名	ldxm
来显	ldxm
来校	ldxn
来学	ldxt
来电显示	ldxu
来下	ldxx
类地行星	ldxx
领导小组	ldxz
来呀	ldya
利大于弊	ldyb
莱茵	ldyb
略懂一二	ldye
领导有方	ldyf
莱阳	ldyh
赖以	ldyi
来意	ldyi
来言	ldyj
老掉牙了	ldyl
来大姨妈	ldym
乱点鸳鸯谱	ldyp
来源	ldyr
来用	ldys
累得要死	ldys
落地有声	ldyu
领地意识	ldyu
老当益壮	ldyv
两点一线	ldyx
两弹一星	ldyx
乱点鸳鸯	ldyy
来由	ldyz
垄断资本	ldzb
来早	ldzc
赖在	ldzd
领导作风	ldzf
来自	ldzi
癞子	ldzi
牢底坐穿	ldzi
流动资金	ldzj
老大自居	ldzj
拉丁字母	ldzm
来做	ldzo
来得早不如来得巧	ldzq
连带责任	ldzr
领导作用	ldzy
劳而不获	lebh
老而不死	lebs
两耳不闻窗外事	lebu
来而不往非礼也	leby
乐而不淫	leby
老二次元	lecy
老二刺螈	lecy
乐道	ledc
乐得	lede
簕欓	ledh
乐斗	ledz
乐儿	leer
乐高	legc
乐果	lego
乐观	legr
乐呵	lehe
乐坏	lehk
乐进	lejb
勒紧	lejb
乐道：“	lejf
乐见	lejm
乐句	leju
乐嘉	lejx
勒掯	lekf
乐扣	lekz
乐了	lele
乐乐	lele
勒令	lelk
乐律	lelv
六耳猕猴	lemh
乐迷	lemi
老而弥坚	lemj
乐美	lemw
乐趣	lequ
乐色	lese
勒索	leso
乐町	letk
乐天	letm
乐土	letu
笼而统之	letv
乐透	letz
乐声	leug
乐事	leui
乐视	leui
勒是雾都	leuiwudu
乐山	leuj
乐手	leuz
勒诈	leva
乐章	levh
乐至	levi
乐而忘返	lewf
劳而无功	lewg
铃儿响叮当	lexd
乐享	lexl
乐业	leye
乐意	leyi
乐园	leyr
乐于	leyu
乐子	lezi
流芳百世	lfbu
聊复尔尔	lfee
龙飞凤舞	lffw
麟凤龟龙	lfgl
浪费感情	lfgq
鸾凤和鸣	lfhm
立方毫米	lfhm
绿肥红瘦	lfhu
流芳后世	lfhu
烂番出神曲	lfiq
龙凤呈祥	lfix
立法机关	lfjg
立法机构	lfjg
雷锋精神	lfju
浪费可耻	lfki
立方厘米	lflm
老夫老妻	lflq
两房两厅	lflt
流芳千古	lfqg
浪费青春	lfqi
恋父情结	lfqj
洛夫斯基	lfsj
了凡四训	lfsx
浪费时间	lfuj
浪费生命	lfum
老夫少妻	lfuq
轮番上阵	lfuv
类风湿性关节炎	lfuy
来犯之敌	lfvd
六分之一	lfvy
落发为僧	lfws
凉风习习	lfxx
罗敷有夫	lfyf
立方英尺	lfyi
两房一厅	lfyt
流风余韵	lfyy
流风遗韵	lfyy
零分作文	lfzw
立国安邦	lgab
冷傲	lgao
楼管阿姨	lgay
流感病毒	lgbd
两个部分	lgbf
六根不净	lgbj
冷冰	lgbk
