行号	词	词频	原拼音	辅助拼音	词典读音	简单鹤	鲸凉鹤	采用	依据	问题
35309	凯伦·克拉克	10	kai3 lun2 #ke4 la1/la2/la3/la4 ke4	kailun*kelake				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
35310	凯夫	10	kai3 fu1/fu2	kaifu				kai fu	原始双字段一致（非独立语料证据）	
35311	凶多吉少	10	xiong1 duo1 ji2 shao3	xiongduojishao	xiong1 duo1 ji2 shao3			xiong duo ji shao	整词词典与原始音节一致	
35312	出具	10	chu1 ju4	chuju	chu1 ju4	chu ju	chu ju	chu ju	简单鹤与鲸凉鹤去飞键后一致	
35313	出让	10	chu1 rang4	churang	chu1 rang4	chu rang	chu rang	chu rang	简单鹤与鲸凉鹤去飞键后一致	
35314	击穿	10	ji1 chuan1	jichuan	ji1 chuan1	ji chuan	ji chuan	ji chuan	简单鹤与鲸凉鹤去飞键后一致	
35315	函授	10	han2 shou4	hanshou	han2 shou4	han shou	han shou	han shou	简单鹤与鲸凉鹤去飞键后一致	
35316	分房	10	fen1 fang2	fenfang	fen1 fang2	fen fang	fen fang	fen fang	简单鹤与鲸凉鹤去飞键后一致	
35317	分析仪	10	fen1/fen4 xi1 yi2	fenxiyi				fen xi yi	原始双字段一致（非独立语料证据）	
35318	分段	10	fen1 duan4	fenduan	fen1 duan4	fen duan	fen duan	fen duan	简单鹤与鲸凉鹤去飞键后一致	
35319	分秒	10	fen1/fen4 miao3	fenmiao	fen1 miao3	fen miao	fen miao	fen miao	简单鹤与鲸凉鹤去飞键后一致	
35320	分贝	10	fen1 bei4	fenbei	fen1 bei4	fen bei	fen bei	fen bei	简单鹤与鲸凉鹤去飞键后一致	
35321	切中	10	qie1 zhong1	qiezhong	qie4 zhong4	qie zhong	qie zhong	qie zhong	简单鹤与鲸凉鹤去飞键后一致	
35322	划着	10	hua2/hua4/huai5 zhao1/zhao2/zhe5/zhuo2	huazhuo		hua zhe	hua zhe	hua zhe	简单鹤与鲸凉鹤去飞键后一致	
35323	创举	10	chuang4 ju3	chuangju	chuang4 ju3	chuang ju	chuang ju	chuang ju	简单鹤与鲸凉鹤去飞键后一致	
35324	创纪录	10	chuang4 ji4 lu4	chuangjilu	chuang4 ji4 lu4			chuang ji lu	整词词典与原始音节一致	
35325	利剑	10	li4 jian4	lijian	li4 jian4	li jian	li jian	li jian	简单鹤与鲸凉鹤去飞键后一致	
35326	利斯顿	10	li4 si1 du2/dun4	lisidun				待分配	证据不足或仍冲突；待分配	
35327	刻不容缓	10	ke4 bu4 rong2 huan3	keburonghuan	ke4 bu4 rong2 huan3			ke bu rong huan	整词词典与原始音节一致	
35328	刻痕	10	ke4 hen2	kehen	ke4 hen2	ke hen	ke hen	ke hen	简单鹤与鲸凉鹤去飞键后一致	
35329	前前后后	10	qian2 qian2 hou4 hou4	qianqianhouhou	qian2 qian2 hou4 hou4			qian qian hou hou	整词词典与原始音节一致	
35330	前脚	10	qian2 jia3/jiao3/jue2	qianjiao	qian2 jiao3	qian jiao	qian jiao	qian jiao	简单鹤与鲸凉鹤去飞键后一致	
35331	前言	10	qian2 yan2	qianyan	qian2 yan2	qian yan	qian yan	qian yan	简单鹤与鲸凉鹤去飞键后一致	
35332	加冰	10	jia1 bing1	jiabing		jia bing	jia bing	jia bing	简单鹤与鲸凉鹤去飞键后一致	
35333	加尔维斯	10	jia1 er3 wei2 si1	jiaerweisi				jia er wei si	原始双字段一致（非独立语料证据）	
35334	加布	10	jia1 bu4	jiabu				jia bu	原始双字段一致（非独立语料证据）	
35335	加莱克	10	jia1 lai2 ke4	jialaike				jia lai ke	原始双字段一致（非独立语料证据）	
35336	动植物	10	dong4 zhi2 wu4	dongzhiwu	dong4 zhi2 wu4			dong zhi wu	整词词典与原始音节一致	
35337	动荡不安	10	dong4 dang4 bu2/bu4 an1	dongdangbuan	dong4 dang4 bu4 an1			dong dang bu an	整词词典与原始音节一致	
35338	助学金	10	zhu4 xue2 jin1	zhuxuejin	zhu4 xue2 jin1			zhu xue jin	整词词典与原始音节一致	
35339	助跑	10	zhu4 pao2/pao3	zhupao	zhu4 pao3	zhu pao	zhu pao	zhu pao	简单鹤与鲸凉鹤去飞键后一致	
35340	劳伦森	10	lao2 lun2 sen1	laolunsen				lao lun sen	原始双字段一致（非独立语料证据）	
35341	劳伦特	10	lao2 lun2 te4	laolunte				lao lun te	原始双字段一致（非独立语料证据）	
35342	劳心	10	lao2 xin1	laoxin	lao2 xin1	lao xin	lao xin	lao xin	简单鹤与鲸凉鹤去飞键后一致	
35343	劳苦	10	lao2 ku3	laoku	lao2 ku3	lao ku	lao ku	lao ku	简单鹤与鲸凉鹤去飞键后一致	
35344	勃发	10	bo2 fa1	bofa	bo2 fa1	bo fa	bo fa	bo fa	简单鹤与鲸凉鹤去飞键后一致	
35345	包揽	10	bao1 lan3	baolan	bao1 lan3	bao lan	bao lan	bao lan	简单鹤与鲸凉鹤去飞键后一致	
35346	包福特	10	bao1 fu2 te4	baofute				bao fu te	原始双字段一致（非独立语料证据）	
35347	包租	10	bao1 zu1	baozu	bao1 zu1	bao zu	bao zu	bao zu	简单鹤与鲸凉鹤去飞键后一致	
35348	包饭	10	bao1 fan4	baofan	bao1 fan4	bao fan	bao fan	bao fan	简单鹤与鲸凉鹤去飞键后一致	
35349	北侧	10	bei3 ce4	beice	bei3 ce4	bei ce	bei ce	bei ce	简单鹤与鲸凉鹤去飞键后一致	
35350	十月份	10	shi2 yue4 fen4	shiyuefen				shi yue fen	原始双字段一致（非独立语料证据）	
35351	千亿	10	qian1 yi4	qianyi			qian yi	qian yi	单份鹤参考与其他证据一致	
35352	千年虫	10	qian1 nian2 chong2	qiannianchong	qian1 nian2 chong2			qian nian chong	整词词典与原始音节一致	
35353	卓拉	10	zhuo1 la1/la2/la3/la4	zhuola			zhuo la	zhuo la	单份鹤参考与其他证据一致	
35354	卓绝	10	zhuo1 jue2	zhuojue	zhuo2 jue2	zhuo jue	zhuo jue	zhuo jue	简单鹤与鲸凉鹤去飞键后一致	
35355	单相思	10	dan1 xiang1 si1	danxiangsi	dan1 xiang1 si1			dan xiang si	整词词典与原始音节一致	
35356	单飞	10	chan2/dan1/shan4 fei1	danfei	dan1 fei1	dan fei	dan fei	dan fei	简单鹤与鲸凉鹤去飞键后一致	
35357	南亚	10	nan2 Ya4	nanya	nan2 ya4	nan ya	nan ya	nan ya	简单鹤与鲸凉鹤去飞键后一致	
35358	南斗	10	na1/nan2 dou3/dou4	nandou	nan2 dou3	nan dou	nan dou	nan dou	简单鹤与鲸凉鹤去飞键后一致	
35359	南纬	10	nan2 wei3	nanwei	nan2 wei3	nan wei	nan wei	nan wei	简单鹤与鲸凉鹤去飞键后一致	
35360	南顺	10	na1/nan2 shun4	nanshun		nan shun	nan shun	nan shun	简单鹤与鲸凉鹤去飞键后一致	
35361	博伊德	10	bo2 yi1 de2	boyide				bo yi de	原始双字段一致（非独立语料证据）	
35362	卡丹	10	ka3/qia3 dan1	kadan				待分配	证据不足或仍冲突；待分配	
35363	卡塔尔	10	Ka3 ta3 er3	kataer	ka3 ta3 er3			ka ta er	整词词典与原始音节一致	
35364	卡散德	10	ka3/qia3 san3/san4 de2	kasande				待分配	证据不足或仍冲突；待分配	
35365	卡斯蒂	10	ka3/qia3 si1 di4	kasidi				待分配	证据不足或仍冲突；待分配	
35366	卡特布克	10	ka3/qia3 te4 bu4 ke4	katebuke				待分配	证据不足或仍冲突；待分配	
35367	卡米埃	10	ka3/qia3 mi3 ai1	kamiai				待分配	证据不足或仍冲突；待分配	
35368	卡西利亚斯	10	ka3/qia3 xi1 li4 ya4 si1	kaxiliyasi				待分配	证据不足或仍冲突；待分配	
35369	卡里克	10	ka3/qia3 li3 ke4	kalike				待分配	证据不足或仍冲突；待分配	
35370	卢平	10	lu2 ping2	luping				lu ping	原始双字段一致（非独立语料证据）	
35371	卧铺	10	wo4 pu4	wopu	wo4 pu4	wo pu	wo pu	wo pu	简单鹤与鲸凉鹤去飞键后一致	
35372	印第安纳波利斯	10	Yin4 di4 an1 na4 bo1 li4 si1	yindiannabolisi				yin di an na bo li si	原始双字段一致（非独立语料证据）	
35373	危险物品	10	wei1 xian3 wu4 pin3	weixianwupin				wei xian wu pin	原始双字段一致（非独立语料证据）	
35374	卵石	10	luan3 dan4/shi2	luanshi	luan3 shi2		luan shi	luan shi	单份鹤参考与其他证据一致	
35375	厄根	10	e4 gen1	egen				e gen	原始双字段一致（非独立语料证据）	
35376	厌食	10	yan4 shi2	yanshi	yan4 shi2			yan shi	整词词典与原始音节一致	
35377	原子核	10	yuan2 zi3 he2	yuanzihe	yuan2 zi3 he2			yuan zi he	整词词典与原始音节一致	
35378	厩	10	jiu4	jiu	jiu4			jiu	整词词典与原始音节一致	
35379	去火	10	qu4 huo3	quhuo	qu4 huo3	qu huo	qu huo	qu huo	简单鹤与鲸凉鹤去飞键后一致	
35380	参考书	10	can1 kao3 shu1	cankaoshu	can1 kao3 shu1			can kao shu	整词词典与原始音节一致	
35381	友谊赛	10	you3 yi4 sai4	youyisai	you3 yi4 sai4			you yi sai	整词词典与原始音节一致	
35382	双人滑	10	shuang1 ren2 hua2	shuangrenhua				shuang ren hua	原始双字段一致（非独立语料证据）	
35383	双生	10	shuang1 sheng1	shuangsheng	shuang1 sheng1	shuang sheng	shuang sheng	shuang sheng	简单鹤与鲸凉鹤去飞键后一致	
35384	双簧	10	shuang1 huang2	shuanghuang	shuang1 huang2	shuang huang	shuang huang	shuang huang	简单鹤与鲸凉鹤去飞键后一致	
35385	反义词	10	fan3 yi4 ci2	fanyici	fan3 yi4 ci2			fan yi ci	整词词典与原始音节一致	
35386	反其道而行之	10	fan3 qi2 dao4 er2 xing2 zhi1	fanqidaoerxingzhi	fan3 qi2 dao4 er2 xing2 zhi1			fan qi dao er xing zhi	整词词典与原始音节一致	
35387	取决	10	qu3 jue2	qujue	qu3 jue2	qu jue	qu jue	qu jue	简单鹤与鲸凉鹤去飞键后一致	
35388	取道	10	qu3 dao4	qudao	qu3 dao4			qu dao	整词词典与原始音节一致	
35389	变形虫	10	bian4 xing2 chong2	bianxingchong				bian xing chong	原始双字段一致（非独立语料证据）	
35390	叛离	10	pan4 li2	panli	pan4 li2	pan li	pan li	pan li	简单鹤与鲸凉鹤去飞键后一致	
35391	古施达施迪达赫	10	gu3 shi1 da2 shi1 di2 da2 he4	gushidashididahe				gu shi da shi di da he	原始双字段一致（非独立语料证据）	
35392	古生物学家	10	gu3 sheng1 wu4 xue2 jia1	gushengwuxuejia				gu sheng wu xue jia	原始双字段一致（非独立语料证据）	
35393	古罗马	10	gu3 Luo2 ma3	guluoma				gu luo ma	原始双字段一致（非独立语料证据）	
35394	叫绝	10	jiao4 jue2	jiaojue	jiao4 jue2	jiao jue	jiao jue	jiao jue	简单鹤与鲸凉鹤去飞键后一致	
35395	召集人	10	shao4/zhao4 ji2 ren2	zhaojiren				待分配	证据不足或仍冲突；待分配	
35396	可的松	10	ke3/ke4 de5/di2/di4 song1	kedesong				待分配	证据不足或仍冲突；待分配	
35397	台球室	10	tai1/tai2 qiu2 shi4	taiqiushi				tai qiu shi	原始双字段一致（非独立语料证据）	
35398	史密夫	10	shi3 mi4 fu1/fu2	shimifu				shi mi fu	原始双字段一致（非独立语料证据）	
35399	史帝文	10	shi3 di4 wen2	shidiwen				shi di wen	原始双字段一致（非独立语料证据）	
35400	史戴夫	10	shi3 dai4 fu1/fu2	shidaifu				shi dai fu	原始双字段一致（非独立语料证据）	
35401	史提	10	shi3 di1/ti2	shiti				待分配	证据不足或仍冲突；待分配	
35402	吃喝玩乐	10	chi1 he1 wan2 le4	chihewanle	chi1 he1 wan2 le4			chi he wan le	整词词典与原始音节一致	
35403	各自为战	10	ge3/ge4 zi4 wei2/wei4 zhan4	geziweizhan	ge4 zi4 wei2 zhan4			ge zi wei zhan	整词词典与原始音节一致	
35404	合意	10	he2 yi4	heyi				he yi	原始双字段一致（非独立语料证据）	
35405	吉历	10	ji2 li4	jili				ji li	原始双字段一致（非独立语料证据）	
35406	吉科布	10	ji2 ke1 bu4	jikebu				ji ke bu	原始双字段一致（非独立语料证据）	
35407	吊扇	10	diao4 shan4	diaoshan	diao4 shan4	diao shan	diao shan	diao shan	简单鹤与鲸凉鹤去飞键后一致	
35408	吊索	10	diao4 suo3	diaosuo	diao4 suo3	diao suo	diao suo	diao suo	简单鹤与鲸凉鹤去飞键后一致	
35409	同人	10	tong2/tong4 ren2	tongren		tong ren	tong ren	tong ren	简单鹤与鲸凉鹤去飞键后一致	
35410	同级	10	tong2 ji2	tongji	tong2 ji2		tong ji	tong ji	单份鹤参考与其他证据一致	
35411	名录	10	ming2 lu4	minglu	ming2 lu4	ming lu	ming lu	ming lu	简单鹤与鲸凉鹤去飞键后一致	
35412	后劲	10	hou4 jin4/jing4	houjin	hou4 jin4	hou jin	hou jin	hou jin	简单鹤与鲸凉鹤去飞键后一致	
35413	君士坦丁堡	10	Jun1 shi4 tan3 ding1 bao3	junshitandingbao				jun shi tan ding bao	原始双字段一致（非独立语料证据）	
35414	含泪	10	han2 lei4	hanlei	han2 lei4	han lei	han lei	han lei	简单鹤与鲸凉鹤去飞键后一致	
35415	含混	10	han2 hun2/hun4	hanhun	han2 hun4	han hun	han hun	han hun	简单鹤与鲸凉鹤去飞键后一致	
35416	吸附	10	xi1 fu4	xifu	xi1 fu4	xi fu	xi fu	xi fu	简单鹤与鲸凉鹤去飞键后一致	
35417	呈报	10	cheng2 bao4	chengbao	cheng2 bao4		cheng bao	cheng bao	单份鹤参考与其他证据一致	
35418	周而复始	10	zhou1 er2 fu4 shi3	zhouerfushi	zhou1 er2 fu4 shi3			zhou er fu shi	整词词典与原始音节一致	
35419	周身	10	zhou1 shen1	zhoushen	zhou1 shen1	zhou shen	zhou shen	zhou shen	简单鹤与鲸凉鹤去飞键后一致	
35420	呵欠	10	he1 qian4	heqian	he1 qian4	he qian	he qian	he qian	简单鹤与鲸凉鹤去飞键后一致	
35421	命苦	10	ming4 ku3	mingku		ming ku	ming ku	ming ku	简单鹤与鲸凉鹤去飞键后一致	
35422	咏菊	10	yong3 ju2	yongju				yong ju	原始双字段一致（非独立语料证据）	
35423	咨询台	10	zi1 xun2 tai1/tai2	zixuntai				zi xun tai	原始双字段一致（非独立语料证据）	
35424	哀嚎	10	ai1 hao2	aihao	ai1 hao2	ai hao	ai hao	ai hao	简单鹤与鲸凉鹤去飞键后一致	
35425	哀思	10	ai1 si1	aisi	ai1 si1	ai si	ai si	ai si	简单鹤与鲸凉鹤去飞键后一致	
35426	哈斯克	10	ha1/ha3/ha4 si1 ke4	hasike				ha si ke	原始双字段一致（非独立语料证据）	
35427	哈森	10	ha1/ha3/ha4 sen1	hasen			ha sen	ha sen	单份鹤参考与其他证据一致	
35428	哈西	10	ha1/ha3/ha4 xi1	haxi				ha xi	原始双字段一致（非独立语料证据）	
35429	哈雷	10	ha1/ha3/ha4 lei2	halei	ha1 lei2	ha lei	ha lei	ha lei	简单鹤与鲸凉鹤去飞键后一致	
35430	响彻	10	xiang3 che4	xiangche	xiang3 che4	xiang che	xiang che	xiang che	简单鹤与鲸凉鹤去飞键后一致	
35431	哭丧	10	ku1 sang1	kusang	ku1 sang1	ku sang	ku sang	ku sang	简单鹤与鲸凉鹤去飞键后一致	
35432	唐璜	10	tang2 huang2	tanghuang		tang huang	tang huang	tang huang	简单鹤与鲸凉鹤去飞键后一致	
35433	商定	10	shang1 ding4	shangding	shang1 ding4	shang ding	shang ding	shang ding	简单鹤与鲸凉鹤去飞键后一致	
35434	商机	10	shang1 ji1	shangji	shang1 ji1	shang ji	shang ji	shang ji	简单鹤与鲸凉鹤去飞键后一致	
35435	商铺	10	shang1 pu1/pu4	shangpu	shang1 pu4	shang pu	shang pu	shang pu	简单鹤与鲸凉鹤去飞键后一致	
35436	喇	10	la1/la2/la3	la	la3			la	整词词典与原始音节一致	
35437	喊话	10	han3 hua4	hanhua	han3 hua4	han hua	han hua	han hua	简单鹤与鲸凉鹤去飞键后一致	
35438	喜玛拉雅	10	xi3 ma3 la1/la2/la3/la4 ya1/ya3	ximalaya				xi ma la ya	原始双字段一致（非独立语料证据）	
35439	喷涂	10	pen1/pen4 tu2	pentu	pen1 tu2	pen tu	pen tu	pen tu	简单鹤与鲸凉鹤去飞键后一致	
35440	嗡	10	weng1	weng	weng1			weng	整词词典与原始音节一致	
35441	嗨哟	10	hai1/hei1 yo1/yo5	haiyou		hai yo	hai yo	hai yo	简单鹤与鲸凉鹤去飞键后一致	
35442	嘚	10	#	*	de1 | dei1			待分配	孤立多音字无语境；待分配	
35443	嘘	10	#	*	shi1 | xu1			待分配	孤立多音字无语境；待分配	
35444	器物	10	qi4 wu4	qiwu	qi4 wu4		qi wu	qi wu	单份鹤参考与其他证据一致	
35445	囚笼	10	qiu2 long2/long3	qiulong	qiu2 long2	qiu long	qiu long	qiu long	简单鹤与鲸凉鹤去飞键后一致	
35446	四月份	10	si4 yue4 fen4	siyuefen				si yue fen	原始双字段一致（非独立语料证据）	
35447	围堵	10	wei2 du3	weidu	wei2 du3		wei du	wei du	单份鹤参考与其他证据一致	
35448	圈养	10	juan1/juan4/quan1 yang3	quanyang	juan4 yang3	juan yang | quan yang	juan yang | quan yang	待分配	参考异读无法消歧；待分配	整词词典与辅助拼音矛盾；两份参考不能唯一确定
35449	土气	10	tu3 qi4	tuqi	tu3 qi4			tu qi	整词词典与原始音节一致	
35450	圣丹斯	10	sheng4 dan1 si1	shengdansi				sheng dan si	原始双字段一致（非独立语料证据）	
35451	圣马可	10	sheng4 ma3 ke3/ke4	shengmake				sheng ma ke	原始双字段一致（非独立语料证据）	
35452	在所不辞	10	zai4 suo3 bu2/bu4 ci2	zaisuobuci	zai4 suo3 bu4 ci2			zai suo bu ci	整词词典与原始音节一致	
35453	地地道道	10	de5/di4 de5/di4 dao4 dao4	dididaodao	di4 di4 dao4 dao4			di di dao dao	整词词典与原始音节一致	
35454	场记	10	chang2/chang3 ji4	changji	chang3 ji4		chang ji	chang ji	单份鹤参考与其他证据一致	
35455	坦荡	10	tan3 dang4	tandang	tan3 dang4	tan dang	tan dang	tan dang	简单鹤与鲸凉鹤去飞键后一致	
35456	埃塞俄比亚人	10	ai1 sai1/sai4/se4 e2 bi3 ya4 ren2	aisaiebiyaren				待分配	证据不足或仍冲突；待分配	
35457	埃斯贝兰萨	10	ai1 si1 bei4 lan2 sa4	aisibeilansa				ai si bei lan sa	原始双字段一致（非独立语料证据）	
35458	城池	10	cheng2 chi2	chengchi	cheng2 chi2	cheng chi	cheng chi	cheng chi	简单鹤与鲸凉鹤去飞键后一致	
35459	基努	10	ji1 nao2/nu3	jinu				待分配	证据不足或仍冲突；待分配	
35460	基塔	10	ji1 da5/ta3	jita				待分配	证据不足或仍冲突；待分配	
35461	基娅	10	ji1 ya4	jiya				ji ya	原始双字段一致（非独立语料证据）	
35462	基莫	10	ji1 mo4	jimo				ji mo	原始双字段一致（非独立语料证据）	
35463	堆肥	10	dui1 fei2	duifei	dui1 fei2	dui fei	dui fei	dui fei	简单鹤与鲸凉鹤去飞键后一致	
35464	塔吉	10	da5/ta3 ji2	taji				待分配	证据不足或仍冲突；待分配	
35465	塔夫特	10	da5/ta3 fu1/fu2 te4	tafute				待分配	证据不足或仍冲突；待分配	
35466	塔尔博特	10	da5/ta3 er3 bo2 te4	taerbote				待分配	证据不足或仍冲突；待分配	
35467	塔纳纳	10	da5/ta3 na4 na4	tanana				待分配	证据不足或仍冲突；待分配	
35468	塔里斯	10	da5/ta3 li3 si1	talisi				待分配	证据不足或仍冲突；待分配	
35469	塞克斯	10	sai1/sai4/se4 ke4 si1	saikesi				待分配	证据不足或仍冲突；待分配	
35470	塞勒斯廷·布	10	sai1/sai4/se4 le4/lei1 si1 ting2 #bu4	sailesiting*bu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
35471	塞尔玛	10	sai1/sai4/se4 er3 ma3	saierma				待分配	证据不足或仍冲突；待分配	
35472	塞普蒂默斯	10	sai1/sai4/se4 pu3 di4 mo4 si1	saipudimosi				待分配	证据不足或仍冲突；待分配	
35473	塞纳河	10	Sai1 na4 he2	sainahe				sai na he	原始双字段一致（非独立语料证据）	
35474	填料	10	tian2 liao4	tianliao	tian2 liao4	tian liao	tian liao	tian liao	简单鹤与鲸凉鹤去飞键后一致	
35475	填词	10	tian2 ci2	tianci	tian2 ci2	tian ci	tian ci	tian ci	简单鹤与鲸凉鹤去飞键后一致	
35476	墙板	10	qiang2 ban3	qiangban		qiang ban	qiang ban	qiang ban	简单鹤与鲸凉鹤去飞键后一致	
35477	增光	10	zeng1 guang1	zengguang	zeng1 guang1	zeng guang	zeng guang	zeng guang	简单鹤与鲸凉鹤去飞键后一致	
35478	壁板	10	bi4 ban3	biban				bi ban	原始双字段一致（非独立语料证据）	
35479	声频	10	sheng1 pin2	shengpin	sheng1 pin2	sheng pin	sheng pin	sheng pin	简单鹤与鲸凉鹤去飞键后一致	
35480	处理厂	10	chu3/chu4 li3 an1/chang3	chulichang				待分配	证据不足或仍冲突；待分配	
35481	复印纸	10	fu4 yin4 zhi3	fuyinzhi				fu yin zhi	原始双字段一致（非独立语料证据）	
35482	复明	10	fu4 ming2	fuming	fu4 ming2			fu ming	整词词典与原始音节一致	
35483	复核	10	fu4 he2	fuhe	fu4 he2			fu he	整词词典与原始音节一致	
35484	夏佩尔	10	xia4 pei4 er3	xiapeier				xia pei er	原始双字段一致（非独立语料证据）	
35485	外籍	10	wai4 ji2	waiji	wai4 ji2	wai ji	wai ji	wai ji	简单鹤与鲸凉鹤去飞键后一致	
35486	多多益善	10	duo1 duo1 yi4 shan4	duoduoyishan	duo1 duo1 yi4 shan4			duo duo yi shan	整词词典与原始音节一致	
35487	多方	10	duo1 fang1	duofang	duo1 fang1	duo fang	duo fang	duo fang	简单鹤与鲸凉鹤去飞键后一致	
35488	多米尼加人	10	duo1 mi3 ni2 jia1 ren2	duominijiaren				duo mi ni jia ren	原始双字段一致（非独立语料证据）	
35489	多马斯特	10	duo1 ma3 si1 te4	duomasite				duo ma si te	原始双字段一致（非独立语料证据）	
35490	夜场	10	ye4 chang2/chang3	yechang	ye4 chang3	ye chang	ye chang	ye chang	简单鹤与鲸凉鹤去飞键后一致	
35491	大丈夫	10	da4/dai4 zhang4 fu1/fu2	dazhangfu	da4 zhang4 fu1			da zhang fu	整词词典与原始音节一致	
35492	大业	10	da4 ye4	daye	da4 ye4		da ye	da ye	单份鹤参考与其他证据一致	
35493	大举	10	da4 ju3	daju	da4 ju3	da ju	da ju	da ju	简单鹤与鲸凉鹤去飞键后一致	
35494	大做文章	10	da4/dai4 zuo4 wen2 zhang1	dazuowenzhang				待分配	证据不足或仍冲突；待分配	
35495	大千世界	10	da4/dai4 qian1 shi4 jie4	daqianshijie	da4 qian1 shi4 jie4			da qian shi jie	整词词典与原始音节一致	
35496	大半天	10	da4/dai4 ban4 tian1	dabantian				待分配	证据不足或仍冲突；待分配	
35497	大吉	10	da4 ji2	daji	da4 ji2	da ji	da ji	da ji	简单鹤与鲸凉鹤去飞键后一致	
35498	大声疾呼	10	da4 sheng1 ji2 hu1	dashengjihu	da4 sheng1 ji2 hu1			da sheng ji hu	整词词典与原始音节一致	
35499	大头针	10	da4/dai4 tou2 zhen1	datouzhen	da4 tou2 zhen1			da tou zhen	整词词典与原始音节一致	
35500	大殿	10	da4 dian4	dadian	da4 dian4	da dian	da dian	da dian	简单鹤与鲸凉鹤去飞键后一致	
35501	大肠杆菌	10	da4 chang2 gan3 jun1	dachangganjun				da chang gan jun	原始双字段一致（非独立语料证据）	
35502	大言不惭	10	da4/dai4 yan2 bu2/bu4 can2	dayanbucan	da4 yan2 bu4 can2			da yan bu can	整词词典与原始音节一致	
35503	大踏步	10	da4/dai4 ta1/ta4 bu4	databu	da4 ta4 bu4			da ta bu	整词词典与原始音节一致	
35504	大过	10	da4/dai4 guo1/guo4	daguo				待分配	证据不足或仍冲突；待分配	
35505	大革命	10	da4 ge2 ming4	dageming				da ge ming	原始双字段一致（非独立语料证据）	
35506	天宫	10	Tian1 gong1	tiangong	tian1 gong1	tian gong	tian gong	tian gong	简单鹤与鲸凉鹤去飞键后一致	
35507	天竺葵	10	tian1 zhu2 kui2	tianzhukui				tian zhu kui	原始双字段一致（非独立语料证据）	
35508	天行道	10	tian1 hang2/hang4/heng2/xing2 dao4	tianxingdao				待分配	证据不足或仍冲突；待分配	
35509	失信	10	shi1 xin4	shixin	shi1 xin4	shi xin	shi xin	shi xin	简单鹤与鲸凉鹤去飞键后一致	
35510	失真	10	shi1 zhen1	shizhen	shi1 zhen1	shi zhen	shi zhen	shi zhen	简单鹤与鲸凉鹤去飞键后一致	
35511	头头是道	10	tou2 tou2 shi4 dao4	toutoushidao	tou2 tou2 shi4 dao4			tou tou shi dao	整词词典与原始音节一致	
35512	头晕眼花	10	tou2 yun1 yan3 hua1	touyunyanhua	tou2 yun1 yan3 hua1			tou yun yan hua	整词词典与原始音节一致	
35513	头里	10	tou2 li3	touli	tou2 li3	tou li	tou li	tou li	简单鹤与鲸凉鹤去飞键后一致	
35514	夸大其辞	10	kua1 da4/dai4 ji1/qi2 ci2	kuadaqici	kua1 da4 qi2 ci2			kua da qi ci	整词词典与原始音节一致	
35515	奇普	10	ji1/qi2 pu3	qipu				待分配	证据不足或仍冲突；待分配	
35516	奇普斯	10	ji1/qi2 pu3 si1	qipusi				待分配	证据不足或仍冲突；待分配	
35517	奈斯基	10	nai4 si1 ji1	naisiji				nai si ji	原始双字段一致（非独立语料证据）	
35518	奔忙	10	ben1 mang2	benmang	ben1 mang2	ben mang	ben mang	ben mang	简单鹤与鲸凉鹤去飞键后一致	
35519	奥克拉荷马	10	ao4 ke4 la1/la2/la3/la4 he2/he4 ma3	aokelahema				ao ke la he ma	原始双字段一致（非独立语料证据）	
35520	奥图	10	ao4 tu2	aotu				ao tu	原始双字段一致（非独立语料证据）	
35521	奥尔德斯	10	ao4 er3 de2 si1	aoerdesi				ao er de si	原始双字段一致（非独立语料证据）	
35522	奥斯卡·维贝尼斯	10	ao4 si1 ka3/qia3 #wei2 bei4 ni2 si1	aosika*weibeinisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
35523	奥斯古	10	ao4 si1 gu3	aosigu				ao si gu	原始双字段一致（非独立语料证据）	
35524	奥斯维辛	10	ao4 si1 wei2 xin1	aosiweixin				ao si wei xin	原始双字段一致（非独立语料证据）	
35525	奥普	10	ao4 pu3	aopu				ao pu	原始双字段一致（非独立语料证据）	
35526	奥洛夫	10	ao4 luo4 fu1/fu2	aoluofu				ao luo fu	原始双字段一致（非独立语料证据）	
35527	奥莉佛	10	ao4 li4 fo2/fu2	aolifo				待分配	证据不足或仍冲突；待分配	
35528	奥马	10	ao4 ma3	aoma				ao ma	原始双字段一致（非独立语料证据）	
35529	如数	10	ru2 shu3/shu4/shuo4	rushu	ru2 shu4		ru shu	ru shu	单份鹤参考与其他证据一致	
35530	如日中天	10	ru2 ri4 zhong1/zhong4 tian1	rurizhongtian	ru2 ri4 zhong1 tian1			ru ri zhong tian	整词词典与原始音节一致	
35531	如火如荼	10	ru2 huo3 ru2 tu2	ruhuorutu	ru2 huo3 ru2 tu2			ru huo ru tu	整词词典与原始音节一致	
35532	如约	10	ru2 yao1/yue1	ruyue	ru2 yue1	ru yue	ru yue	ru yue	简单鹤与鲸凉鹤去飞键后一致	
35533	始祖	10	shi3 zu3	shizu	shi3 zu3		shi zu	shi zu	单份鹤参考与其他证据一致	
35534	姑婆	10	gu1 po2	gupo	gu1 po2	gu po	gu po	gu po	简单鹤与鲸凉鹤去飞键后一致	
