行号	词	词频	原拼音	辅助拼音	词典读音	简单鹤	鲸凉鹤	采用	依据	问题
73610	华·卡斯特纳	1	hua1/hua2/hua4 #ka3/qia3 si1 te4 na4	hua*kasitena				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73622	华塞·卡里罗	1	hua1/hua2/hua4 sai1/sai4/se4 #ka3/qia3 li3 luo1/luo2/luo5	huasai*kaliluo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73636	华德·艾伯特	1	hua1/hua2/hua4 de2 #ai4/yi4 bai3/bo2 te4	huade*aibote				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73642	华特·斯派洛	1	hua1/hua2/hua4 te4 #si1 pa1/pai4 luo4	huate*sipailuo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73643	华特·费兹吉拉德	1	hua1/hua2/hua4 te4 #fei4 ci2/zi1 ji2 la1/la2/la3/la4 de2	huate*feizijilade				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73644	华特·迪斯尼	1	hua1/hua2/hua4 te4 #di2 si1 ni2	huate*disini				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73645	华特·霍尔	1	hua1/hua2/hua4 te4 #huo4 er3	huate*huoer				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73651	华盛顿瓦尔特·里德	1	hua1/hua2/hua4 cheng2/sheng4 du2/dun4 wa3/wa4 er3 te4 #li3 de2	huashengdunwaerte*lide				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73655	华莱士·塞巴斯蒂安·布劳恩特	1	hua1/hua2/hua4 lai2 shi4 #sai1/sai4/se4 ba1 si1 di4 an1 #bu4 lao2 en1 te4	hualaishi*saibasidian*bulaoente				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73656	华莱士·菲斯金	1	hua1/hua2/hua4 lai2 shi4 #fei1/fei3 si1 jin1	hualaishi*feisijin				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73657	华薇	1	hua1/hua2/hua4 wei1	hua*				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73681	单久·艾普斯	1	chan2/dan1/shan4 jiu3 #ai4/yi4 pu3 si1	danjiu*aipusi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73728	南希·伍德斯	1	na1/nan2 xi1 #wu3 de2 si1	nanxi*wudesi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73729	南希·佩洛西	1	na1/nan2 xi1 #pei4 luo4 xi1	nanxi*peiluoxi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73730	南希·克	1	na1/nan2 xi1 #ke4	nanxi*ke				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73731	南希·德鲁	1	na1/nan2 xi1 #de2 lu3	nanxi*delu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73732	南希·纳戈尔	1	na1/nan2 xi1 #na4 ge1 er3	nanxi*nageer				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73733	南希·赫夫	1	na1/nan2 xi1 #he4 fu1/fu2	nanxi*hefu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73734	南希·邓莱普	1	na1/nan2 xi1 #deng4 lai2 pu3	nanxi*denglaipu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73735	南希·里根	1	na1/nan2 xi1 #li3 gen1	nanxi*ligen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73736	南希·霍迪吉斯	1	na1/nan2 xi1 #huo4 di2 ji2 si1	nanxi*huodijisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73738	南昊贞	1	na1/nan2 hao4 zhen1	nan*zhen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73754	南禅寺	1	na1/nan2 chan2/shan4 si4	nan*si				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73757	南西·朱	1	na1/nan2 xi1 #zhu1	nanxi*zhu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73793	博恩·卡	1	bo2 en1 #ka3/qia3	boen*ka				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73809	博比·兰迪	1	bo2 bi3 #lan2 di2	bobi*landi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73810	博比·弗莱	1	bo2 bi3 #fu2 lai2	bobi*fulai				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73811	博比·德威	1	bo2 bi3 #de2 wei1	bobi*dewei				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73812	博比·林恩·德克斯特	1	bo2 bi3 #lin2 en1 #de2 ke4 si1 te4	bobi*linen*dekesite				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73813	博比·比利	1	bo2 bi3 #bi3 li4	bobi*bili				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73814	博比·玛旺巴	1	bo2 bi3 #ma3 wang4 ba1	bobi*mawangba				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73815	博比·米勒	1	bo2 bi3 #mi3 le4/lei1	bobi*mile				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73825	博迪·邦德海格	1	bo2 di2 #bang1 de2 hai3 ge1/ge2	bodi*bangdehaige				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73841	卡丽·玛	1	ka3/qia3 li2/li4 #ma3	kali*ma				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73842	卡丽·费希尔	1	ka3/qia3 li2/li4 #fei4 xi1 er3	kali*feixier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73845	卡什·汤顿	1	ka3/qia3 shen2/shi2 #shang1/tang1 du2/dun4	kashi*tangdun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73848	卡伦·奥康诺	1	ka3/qia3 lun2 #ao4 kang1 nuo4	kalun*aokangnuo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73859	卡内基·梅隆	1	ka3/qia3 nei4 ji1 #mei2 long1/long2	kaneiji*meilong				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73860	卡内基·麦伦	1	ka3/qia3 nei4 ji1 #mai4 lun2	kaneiji*mailun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73867	卡利德·谢科·穆罕默德	1	ka3/qia3 li4 de2 #xie4 ke1 #mu4 han3 mo4 de2	kalide*xieke*muhanmode				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73868	卡利德·谢赫·穆罕默德	1	ka3/qia3 li4 de2 #xie4 he4 #mu4 han3 mo4 de2	kalide*xiehe*muhanmode				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73905	卡姗德拉	1	ka3/qia3 shan1 de2 la1/la2/la3/la4	ka*dela				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73908	卡尔·伯恩斯坦	1	ka3/qia3 er3 #bai3/bo2 en1 si1 tan3	kaer*boensitan				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73909	卡尔·佩金斯	1	ka3/qia3 er3 #pei4 jin1 si1	kaer*peijinsi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73910	卡尔·凡·贝多芬	1	ka3/qia3 er3 #fan2 #bei4 duo1 fen1	kaer*fan*beiduofen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73911	卡尔·加德森	1	ka3/qia3 er3 #jia1 de2 sen1	kaer*jiadesen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73912	卡尔·卡塞尔	1	ka3/qia3 er3 #ka3/qia3 sai1/sai4/se4 er3	kaer*kasaier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73913	卡尔·卡穆勒	1	ka3/qia3 er3 #ka3/qia3 mu4 le4/lei1	kaer*kamule				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73914	卡尔·山多夫	1	ka3/qia3 er3 #shan1 duo1 fu1/fu2	kaer*shanduofu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73915	卡尔·席伯尔曼	1	ka3/qia3 er3 #xi2 bai3/bo2 er3 man4	kaer*xiboerman				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73916	卡尔·弗朗西斯	1	ka3/qia3 er3 #fu2 lang3 xi1 si1	kaer*fulangxisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73917	卡尔·托马斯·巴恩哈特	1	ka3/qia3 er3 #tuo1 ma3 si1 #ba1 en1 ha1/ha3/ha4 te4	kaer*tuomasi*baenhate				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73918	卡尔·斯特恩	1	ka3/qia3 er3 #si1 te4 en1	kaer*siteen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73919	卡尔·本斯	1	ka3/qia3 er3 #ben3 si1	kaer*bensi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73920	卡尔·格德勒	1	ka3/qia3 er3 #ge1/ge2 de2 le4/lei1	kaer*gedele				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73921	卡尔·格里森	1	ka3/qia3 er3 #ge1/ge2 li3 sen1	kaer*gelisen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73922	卡尔·洛	1	ka3/qia3 er3 #luo4	kaer*luo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73923	卡尔·班顿	1	ka3/qia3 er3 #ban1 du2/dun4	kaer*bandun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73924	卡尔·科兹菲尔	1	ka3/qia3 er3 #ke1 ci2/zi1 fei1/fei3 er3	kaer*kezifeier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73925	卡尔·路易斯	1	ka3/qia3 er3 #lu4 yi4 si1	kaer*luyisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73926	卡尔·雅斯贝尔斯	1	ka3/qia3 er3 #ya1/ya3 si1 bei4 er3 si1	kaer*yasibeiersi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73931	卡尔文·克莱恩	1	ka3/qia3 er3 wen2 #ke4 lai2 en1	kaerwen*kelaien				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73932	卡尔文·柯立兹	1	ka3/qia3 er3 wen2 #ke1 li4 ci2/zi1	kaerwen*kelizi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73935	卡尔斯·巴克利	1	ka3/qia3 er3 si1 #ba1 ke4 li4	kaersi*bakeli				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73951	卡尔顿·菲斯克	1	ka3/qia3 er3 du2/dun4 #fei1/fei3 si1 ke4	kaerdun*feisike				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73954	卡巴·艾塔·西格玛	1	ka3/qia3 ba1 #ai4/yi4 da5/ta3 #xi1 ge1/ge2 ma3	kaba*aita*xigema				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73960	卡布·卡洛维	1	ka3/qia3 bu4 #ka3/qia3 luo4 wei2	kabu*kaluowei				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73971	卡德·拉维尔	1	ka3/qia3 de2 #la1/la2/la3/la4 wei2 er3	kade*laweier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73980	卡拉·亚斯特拉詹姆斯基·赖特曼	1	ka3/qia3 la1/la2/la3/la4 #ya4 si1 te4 la1/la2/la3/la4 zhan1 mu3 si1 ji1 #lai4 te4 man4	kala*yasitelazhanmusiji*laiteman				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
73987	卡拉斯·恩古尔	1	ka3/qia3 la1/la2/la3/la4 si1 #en1 gu3 er3	kalasi*enguer				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74002	卡提娅·戴瑞沃克	1	ka3/qia3 di1/ti2 ya4 #dai4 rui4 wo4 ke4	kati**dairuiwoke				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74008	卡斯帕·提斯	1	ka3/qia3 si1 pa4 #di1/ti2 si1	kasipa*tisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74044	卡梅伦·迪亚兹	1	ka3/qia3 mei2 lun2 #di2 ya4 ci2/zi1	kameilun*diyazi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74050	卡森·朱尔	1	ka3/qia3 sen1 #zhu1 er3	kasen*zhuer				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74061	卡洛·朗白	1	ka3/qia3 luo4 #lang3 bai2	kaluo*langbai				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74062	卡洛斯·伽勒	1	ka3/qia3 luo4 si1 #ga1/jia1/qia1/qie2 le4/lei1	kaluosi**le				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74063	卡洛斯·奥利维拉	1	ka3/qia3 luo4 si1 #ao4 li4 wei2 la1/la2/la3/la4	kaluosi*aoliweila				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74064	卡洛斯·德·阿里斯德	1	ka3/qia3 luo4 si1 #de2 #a1/a5/e1 li3 si1 de2	kaluosi*de*aliside				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74065	卡洛斯·德·阿里斯德奎·桑托斯	1	ka3/qia3 luo4 si1 #de2 #a1/a5/e1 li3 si1 de2 kui2 #sang1 tuo1 si1	kaluosi*de*alisidekui*sangtuosi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74066	卡洛斯·迪叶特里奇	1	ka3/qia3 luo4 si1 #di2 xie2/ye4 te4 li3 ji1/qi2	kaluosi*diyeteliqi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74067	卡洛斯·雨果·卡特兰	1	ka3/qia3 luo4 si1 #yu3/yu4 guo3 #ka3/qia3 te4 lan2	kaluosi*yuguo*katelan				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74068	卡洛琳·墨菲	1	ka3/qia3 luo4 lin2 #mo4 fei1/fei3	kaluolin*mofei				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74069	卡洛琳·恩克兹	1	ka3/qia3 luo4 lin2 #en1 ke4 ci2/zi1	kaluolin*enkezi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74071	卡特·汤姆逊	1	ka3/qia3 te4 #shang1/tang1 mu3 xun4	kate*tangmuxun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74072	卡特·法雷尔	1	ka3/qia3 te4 #fa3 lei2 er3	kate*faleier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74082	卡特里娜·沃尔夫	1	ka3/qia3 te4 li3 na4/nuo2 #wo4 er3 fu1/fu2	katelina*woerfu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74084	卡珀恩	1	ka3/qia3 po4 en1	ka*en				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74086	卡琳·麦坎得勒斯	1	ka3/qia3 lin2 #mai4 kan3 de2/de5/dei3 le4/lei1 si1	kalin*maikandelesi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74092	卡瑟琳·瓦查	1	ka3/qia3 se4 lin2 #wa3/wa4 cha2/zha1	kaselin*wacha				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74107	卡米尔·阿勃第	1	ka3/qia3 mi3 er3 #a1/a5/e1 bo2 di4	kamier*abodi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74115	卡罗尔·德克斯特	1	ka3/qia3 luo1/luo2/luo5 er3 #de2 ke4 si1 te4	kaluoer*dekesite				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74116	卡罗尔·沃斯勒	1	ka3/qia3 luo1/luo2/luo5 er3 #wo4 si1 le4/lei1	kaluoer*wosile				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74117	卡罗斯·德	1	ka3/qia3 luo1/luo2/luo5 si1 #de2	kaluosi*de				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74118	卡罗林·海斯	1	ka3/qia3 luo1/luo2/luo5 lin2 #hai3 si1	kaluolin*haisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74119	卡罗琳·库欣	1	ka3/qia3 luo1/luo2/luo5 lin2 #ku4 xin1	kaluolin*kuxin				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74120	卡罗琳·彬莱格	1	ka3/qia3 luo1/luo2/luo5 lin2 #bin1 lai2 ge1/ge2	kaluolin*binlaige				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74121	卡罗琳娜·海莱娜	1	ka3/qia3 luo1/luo2/luo5 lin2 na4/nuo2 #hai3 lai2 na4/nuo2	kaluolinna*hailaina				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74130	卡莉·戴维森	1	ka3/qia3 li4 #dai4 wei2 sen1	kali*daiweisen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74131	卡莉·福尼亚	1	ka3/qia3 li4 #fu2 ni2 ya4	kali*funiya				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74142	卡菲·施勒克里	1	ka3/qia3 fei1/fei3 #shi1 le4/lei1 ke4 li3	kafei*shilekeli				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74154	卡蒂·佩顿	1	ka3/qia3 di4 #pei4 du2/dun4	kadi*peidun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74158	卡西奇·帕尔马斯	1	ka3/qia3 xi1 ji1/qi2 #pa4 er3 ma3 si1	kaxiqi*paermasi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74172	卡迈勒·阿德	1	ka3/qia3 mai4 le4/lei1 #a1/a5/e1 de2	kamaile*ade				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74173	卡迈勒·阿德万	1	ka3/qia3 mai4 le4/lei1 #a1/a5/e1 de2 mo4/wan4	kamaile*adewan				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74175	卡迈尔·法尔肯	1	ka3/qia3 mai4 er3 #fa3 er3 ken3	kamaier*faerken				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74176	卡迈隆·唐兹	1	ka3/qia3 mai4 long1/long2 #tang2 ci2/zi1	kamailong*tangzi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74199	卡门·伊莱特	1	ka3/qia3 men2 #yi1 lai2 te4	kamen*yilaite				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74200	卡门·吉亚	1	ka3/qia3 men2 #ji2 ya4	kamen*jiya				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74212	卢·安德鲁	1	lu2 #an1 de2 lu3	lu*andelu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74213	卢·瑞德	1	lu2 #rui4 de2	lu*ruide				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74217	卢修斯·马尔福	1	lu2 xiu1 si1 #ma3 er3 fu2	luxiusi*maerfu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74220	卢克·威尔森	1	lu2 ke4 #wei1 er3 sen1	luke*weiersen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74221	卢克·杰斯普	1	lu2 ke4 #jie2 si1 pu3	luke*jiesipu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74226	卢卡·巴拉斯	1	lu2 ka3/qia3 #ba1 la1/la2/la3/la4 si1	luka*balasi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74228	卢卡斯·尼克	1	lu2 ka3/qia3 si1 #ni2 ke4	lukasi*nike				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74229	卢卡斯·巴赛罗	1	lu2 ka3/qia3 si1 #ba1 sai4 luo1/luo2/luo5	lukasi*basailuo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74230	卢卡斯·杜邦	1	lu2 ka3/qia3 si1 #du4 bang1	lukasi*dubang				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74236	卢娜·洛夫	1	lu2 na4/nuo2 #luo4 fu1/fu2	luna*luofu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74237	卢娜·洛夫古德	1	lu2 na4/nuo2 #luo4 fu1/fu2 gu3 de2	luna*luofugude				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74245	卢武铉	1	Lu2 Wu3 xuan4	luwu*				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74248	卢瑟·维尔	1	lu2 se4 #wei2 er3	luse*weier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74256	卢西亚诺·瑞	1	lu2 xi1 ya4 nuo4 #rui4	luxiyanuo*rui				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74270	卫博比·拉克利	1	wei4 bo2 bi3 #la1/la2/la3/la4 ke4 li4	weibobi*lakeli				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74304	厄多·玛斯	1	e4 duo1 #ma3 si1	eduo*masi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74306	厄尔·威尔森	1	e4 er3 #wei1 er3 sen1	eer*weiersen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74307	厄尔·布鲁克斯	1	e4 er3 #bu4 lu3 ke4 si1	eer*bulukesi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74308	厄尔·海因斯	1	e4 er3 #hai3 yin1 si1	eer*haiyinsi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74309	厄尔·麦吉特	1	e4 er3 #mai4 ji2 te4	eer*maijite				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74311	厄尔文·泽斯曼	1	e4 er3 wen2 #ze2 si1 man4	eerwen*zesiman				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74312	厄尔文·迈克格雷	1	e4 er3 wen2 #mai4 ke4 ge1/ge2 lei2	eerwen*maikegelei				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74315	厄尼·罗德里格斯	1	e4 ni2 #luo1/luo2/luo5 de2 li3 ge1/ge2 si1	eni*luodeligesi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74407	发憷	1	fa1 chu4	fajiong	fa1 chu4			fa chu	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
74430	受降	1	shou4 xiang2	shoujiang	shou4 xiang2			shou xiang	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
74486	古斯塔夫·罗斯	1	gu3 si1 da5/ta3 fu1/fu2 #luo1/luo2/luo5 si1	gusitafu*luosi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74502	古茨·古茨	1	gu3 ci2 #gu3 ci2	guci*guci				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74525	叫铉	1	jiao4 xuan4	jiao*				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74545	叱咤风云	1	chi4 zha4 feng1 yun2	chichafengyun	chi4 zha4 feng1 yun2			chi zha feng yun	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
74549	史丹·卡特	1	shi3 dan1 #ka3/qia3 te4	shidan*kate				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74550	史丹利·蒂蒙斯	1	shi3 dan1 li4 #di4 meng1/meng2/meng3 si1	shidanli*dimengsi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74570	史图·克莱明史凯	1	shi3 tu2 #ke4 lai2 ming2 shi3 kai3	shitu*kelaimingshikai				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74573	史坦·布鲁克斯	1	shi3 tan3 #bu4 lu3 ke4 si1	shitan*bulukesi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74574	史坦·法兰克夫斯基	1	shi3 tan3 #fa3 lan2 ke4 fu1/fu2 si1 ji1	shitan*falankefusiji				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74582	史奴比·道格·希弗	1	shi3 nu2 bi3 #dao4 ge1/ge2 #xi1 fu2	shinubi*daoge*xifu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74607	史戴维·温	1	shi3 dai4 wei2 #wen1	shidaiwei*wen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74608	史戴茜	1	shi3 dai4 qian4/xi1	shidai*				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74613	史提夫·利维	1	shi3 di1/ti2 fu1/fu2 #li4 wei2	shitifu*liwei				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74614	史提夫·杰拉德	1	shi3 di1/ti2 fu1/fu2 #jie2 la1/la2/la3/la4 de2	shitifu*jielade				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74617	史摩基·罗宾逊	1	shi3 ma1/mo2 ji1 #luo1/luo2/luo5 bin1 xun4	shimoji*luobinxun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74633	史派西·迈吉	1	shi3 pa1/pai4 xi1 #mai4 ji2	shipaixi*maiji				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74654	史蒂夫·兰多佐	1	shi3 di4 fu1/fu2 #lan2 duo1 zuo3	shidifu*landuozuo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74655	史蒂夫·卡彭特	1	shi3 di4 fu1/fu2 #ka3/qia3 peng2 te4	shidifu*kapengte				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74656	史蒂夫·多诺万	1	shi3 di4 fu1/fu2 #duo1 nuo4 mo4/wan4	shidifu*duonuowan				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74657	史蒂夫·弗拉	1	shi3 di4 fu1/fu2 #fu2 la1/la2/la3/la4	shidifu*fula				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74658	史蒂夫·彭特罗达吉斯	1	shi3 di4 fu1/fu2 #peng2 te4 luo1/luo2/luo5 da2 ji2 si1	shidifu*pengteluodajisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74659	史蒂夫·文尼	1	shi3 di4 fu1/fu2 #wen2 ni2	shidifu*wenni				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74660	史蒂夫·文德	1	shi3 di4 fu1/fu2 #wen2 de2	shidifu*wende				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74661	史蒂夫·旺德	1	shi3 di4 fu1/fu2 #wang4 de2	shidifu*wangde				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74662	史蒂夫·旺德尔	1	shi3 di4 fu1/fu2 #wang4 de2 er3	shidifu*wangdeer				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74663	史蒂夫·潘宁	1	shi3 di4 fu1/fu2 #pan1 ning2/ning4	shidifu*panning				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
74664	史蒂夫·马卡斯	1	shi3 di4 fu1/fu2 #ma3 ka3/qia3 si1	shidifu*makasi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
